topic_id,top_terms,doc_weight_sum,term_freq
T00,art tax article respective services federal percent subparagraph compensation,3.032637873635517,0.03191916209361007
T01,federal paragraph municipalities respective constitutional consent require absolute judges,3.3458063969356395,0.019097422622165315
T02,county legislation financial pursuant promote competence local ensure development,8.902819659935457,0.05282959765378772
T03,statute request membership draft regulations determine absolute budget amendment,20.41786339947292,0.059406769225218245
T04,list court candidate pursuant written perform hold declaration purpose,9.191572983483502,0.05050007899301746
T05,accord organizations socialist qualifications level personnel organs country economy,4.064199875263864,0.014813312251827887
T06,faithful continuance dangerous continues communications build determines expenditures worship,0.00457103490526413,0.00015017360068245245
T07,thereof consent consist trial amendment chosen compensation regular discharge,2.3328584661894363,0.004793738966696654
T08,clause paragraph provision thereof purposes court commencement expenditure relation,11.5067702758959,0.08899144528604465
T09,section said proposal provision judges thereof save ii charge,0.8070486421682973,0.0026595548077816508
T10,article clause court purposes provision offence perform paragraph local,4.955151340752009,0.04509757003482465
T11,paragraph matter laid provision committee information court offence proposal,5.7173324447635805,0.03560603743638804
T12,organic organization mandate territory matter determines establishes territorial regime,22.29691214005439,0.06446874831230943
T13,development services country promote entities guarantee cultural activities participation,21.622833879824952,0.13687997199587926
T14,section subsection court proceedings advice question provision purpose purposes,24.495822807661263,0.1858714626553281
T15,local court bodies deputies freedoms judges constitutional acts basis,34.06812837503134,0.11196591501651093
T16,country parties pursuant human recommendation citizenship position forces report,3.1109179607345974,0.017444717840904463
T17,th functionaries hours workers cognizance funds official regulate cause,3.448070196007931,0.016367015936499793
T18,provincial legislation section province local subsection legislature court ii,5.331663515971277,0.04336491307668636
T19,bodies local organisation defence laid regions autonomous regional organisations,3.3470187313128488,0.01777239219383669
